Size: 10000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

CatBoost (accuracy): [0.94295, 0.9137, 0.9247, 0.9247, 0.9128, 0.9302, 0.9187, 0.9037, 0.8742, 0.9223, 0.9096]

AdaBoost (RF) (accuracy): [0.93585, 0.9068, 0.9265, 0.9117, 0.8927, 0.9051, 0.8987, 0.8714, 0.8547, 0.9129, 0.8964]

LightGBM (accuracy): [0.9413500000000001, 0.9095, 0.9254, 0.9216, 0.9101, 0.9291, 0.9127, 0.8978, 0.8633, 0.9154, 0.9002]

Adaboost (LGBM) (accuracy): [0.9493, 0.9254, 0.9348, 0.9343, 0.9262, 0.9366, 0.9221, 0.9117, 0.8706, 0.9352, 0.9213]

Optimized LightGBM (accuracy): [0.9522999999999999, 0.9216, 0.9354, 0.9336, 0.9232, 0.9323, 0.92, 0.9102, 0.881, 0.9351, 0.9187]

Adaboost (Opt. LGBM) (accuracy): [0.9484999999999999, 0.9198, 0.9327, 0.9307, 0.92, 0.9334, 0.9219, 0.9079, 0.8715, 0.9258, 0.9128]

CatBoost (auc): [0.9863836440800451, 0.9133163741411525, 0.9246783292447803, 0.9243108255499569, 0.9142873256658095, 0.931000358674369, 0.9177942288987354, 0.9094038168873013, 0.8822640015544831, 0.9223020179540397, 0.9096669666966696]

AdaBoost (RF) (auc): [0.9857028212304335, 0.9057424475419574, 0.927138834471245, 0.9110313997787882, 0.8956917789030983, 0.9069535169872122, 0.8970886319151745, 0.8823421978537644, 0.8673651446357192, 0.9131639618914256, 0.8967496749674967]

LightGBM (auc): [0.9867923803632739, 0.9088773372151953, 0.9254436180603112, 0.9211600303142027, 0.9116688530529181, 0.9300767201111234, 0.9115924364870653, 0.9049890393271163, 0.8742760429379152, 0.9154409742191992, 0.9003800380038004]

Adaboost (LGBM) (auc): [0.989219631065979, 0.9247822647984012, 0.9351082370242221, 0.9339008285199296, 0.9278164649294947, 0.9376241403389161, 0.9209571670449224, 0.9184429155009034, 0.8838868409448146, 0.93537145857818, 0.9214771477147714]

Optimized LightGBM (auc): [0.9904427066751162, 0.9208730458258899, 0.9357946827584829, 0.9331548149399861, 0.9249203098387302, 0.9334617795535104, 0.9187542778918549, 0.9175556051932345, 0.8921268170240387, 0.935290940461604, 0.9189328932893288]

Adaboost (Opt. LGBM) (auc): [0.9889139885040393, 0.9192421561500899, 0.9329233319458821, 0.9303138185654009, 0.9215850737140256, 0.9343017968480548, 0.9209183407983796, 0.9144343509591064, 0.8824108823611349, 0.9259063289240078, 0.9129312931293128]

CatBoost (precision): [0.9515879608663665, 0.9201769165964616, 0.9300038565368299, 0.9550488599348534, 0.9477903391572456, 0.9548780487804878, 0.9465111160026414, 0.955339092078662, 0.9453860640301318, 0.9245357566179375, 0.916767189384801]

AdaBoost (RF) (precision): [0.9526935721723742, 0.93364299933643, 0.9449523052464229, 0.9660316731696121, 0.958922261484099, 0.9583423736168366, 0.9509001636661211, 0.9535840188014101, 0.9439716312056737, 0.9302087597216537, 0.9279317697228145]

LightGBM (precision): [0.9507372954274936, 0.922879177377892, 0.931928060336492, 0.956140350877193, 0.9467602146099876, 0.9585130416923393, 0.947391985672711, 0.9573991031390134, 0.9454354669464848, 0.9199602780536247, 0.9168724279835391]

Adaboost (LGBM) (precision): [0.957732324853003, 0.940192926045016, 0.9460199491492275, 0.9664853101196953, 0.9636588891183151, 0.9672704816797035, 0.9595596495169625, 0.9661173856693205, 0.9558849479442386, 0.9470813976974348, 0.9381294964028777]

Optimized LightGBM (precision): [0.9628274802094493, 0.9395117736012097, 0.9483604947967799, 0.9699165568730787, 0.9628553641834405, 0.9667843055843887, 0.9612420670897552, 0.9677599701826314, 0.9571552471812662, 0.9481571486431754, 0.9405281763360366]

Adaboost (Opt. LGBM) (precision): [0.9562439503906559, 0.9321527629613825, 0.9423226812159002, 0.9613631430431951, 0.9568805446668042, 0.9607522485690924, 0.9530245956126745, 0.9622571692876966, 0.9505571030640668, 0.9339074704586421, 0.9254582484725051]

CatBoost (recall): [0.9446962828649139, 0.9002678755409025, 0.9251870324189526, 0.8895631067961165, 0.8818129661503156, 0.908001546192501, 0.8829568788501027, 0.8783372761067928, 0.8546664603002632, 0.9221674876847291, 0.902970297029703]

AdaBoost (RF) (recall): [0.9299184043517679, 0.8697712754996909, 0.91214272012277, 0.8513349514563107, 0.8303690954293363, 0.8536915345960572, 0.8351129363449692, 0.8227441703278134, 0.824021049373162, 0.8955665024630541, 0.8617821782178218]

LightGBM (recall): [0.9425203989120581, 0.887698330929322, 0.9244197199309419, 0.8818770226537217, 0.8774144195830943, 0.9020100502512562, 0.868993839835729, 0.8658330517066577, 0.8367125831914565, 0.9127093596059114, 0.8823762376237624]

Adaboost (LGBM) (recall): [0.9500453309156844, 0.9037708633834741, 0.9278726261269902, 0.8982605177993528, 0.8925224708357239, 0.9081948202551218, 0.8770020533880903, 0.8817167962149375, 0.8384151060207399, 0.9239408866995074, 0.9037623762376238]

Optimized LightGBM (recall): [0.9502266545784224, 0.8961467133731712, 0.9265298292729715, 0.893406148867314, 0.8873589596481163, 0.9000773096250483, 0.8708418891170431, 0.8774923960797567, 0.8540473610896147, 0.9225615763546798, 0.8956435643564357]

Adaboost (Opt. LGBM) (recall): [0.9501359927470536, 0.9002678755409025, 0.9276807980049875, 0.8958333333333334, 0.8869764773379232, 0.9083880943177426, 0.8831622176591376, 0.8788442041230146, 0.8450704225352113, 0.9188177339901478, 0.8998019801980198]

