Size: 20000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.86745, 0.78785, 0.685, 0.6611, 0.652, 0.69405, 0.6763, 0.649, 0.61915, 0.7031, 0.6851]

Decision Tree (accuracy): [0.905575, 0.8589, 0.8855, 0.8575, 0.8274, 0.84325, 0.82065, 0.7798, 0.75565, 0.8021, 0.797]

Random Forest (accuracy): [0.9198999999999999, 0.8831, 0.91195, 0.862, 0.84735, 0.8649, 0.8415, 0.80675, 0.83055, 0.87645, 0.8499]

Neural Net (accuracy): [0.606225, 0.5599, 0.57915, 0.60615, 0.5877, 0.62535, 0.58625, 0.65455, 0.69325, 0.5862, 0.5801]

QDA (accuracy): [0.6754749999999999, 0.63105, 0.62875, 0.62965, 0.6332, 0.6032, 0.58615, 0.6643, 0.55525, 0.5312, 0.5407]

Naive Bayes (accuracy): [0.49479999999999996, 0.58175, 0.4892, 0.52475, 0.48775, 0.4914, 0.53505, 0.4402, 0.52535, 0.6242, 0.5702]

SGD (accuracy): [0.546, 0.61115, 0.4952, 0.4758, 0.48115, 0.44395, 0.48, 0.4037, 0.3325, 0.4801, 0.4837]

LightGBM (accuracy): [0.9475, 0.91465, 0.93, 0.9275, 0.91215, 0.9355, 0.91735, 0.89955, 0.85145, 0.9224, 0.90495]

Nearest Neighbors (auc): [0.9329842520818724, 0.7891617027749757, 0.6860989562095632, 0.6598725539368573, 0.6585606577553025, 0.6989491396520734, 0.6693699033947997, 0.6777476942463468, 0.6513984841611987, 0.7034633568851052, 0.6863203357292258]

Decision Tree (auc): [0.9240520874391509, 0.8579738514995756, 0.8857180762055381, 0.8556448818196551, 0.8302133780744919, 0.8453036535287796, 0.8176470706035021, 0.7944707861289008, 0.769819841215868, 0.8022137166897684, 0.7974291555898261]

Random Forest (auc): [0.9784005788228187, 0.8821311908536291, 0.9124378247686646, 0.8592156103491635, 0.8510425537917379, 0.8677969963082286, 0.8379672054983257, 0.8229295777604376, 0.8416187789158117, 0.8765112195854058, 0.8502645100927941]

Neural Net (auc): [0.5954126376177714, 0.5711333685609518, 0.5642855158213138, 0.6164744102192576, 0.5708939062933043, 0.6119010444077986, 0.5994126387798587, 0.5853564994890245, 0.5715287968007605, 0.5847448982938819, 0.5769425611854225]

QDA (auc): [0.7436153131979479, 0.6381344974459977, 0.6199658369460112, 0.6367776390962705, 0.6237924880312751, 0.5936125128350058, 0.5955095804162194, 0.6313258953312383, 0.5015235245618328, 0.5305473558937324, 0.5393451937615885]

Naive Bayes (auc): [0.6494249090778093, 0.5701556019919617, 0.5061892249707693, 0.5105734640462588, 0.5082384715617457, 0.5088910602992541, 0.5181373059485093, 0.5229861751471978, 0.6309767961894052, 0.6255048265425521, 0.5734266472772204]

SGD (auc): [0.7015449283243822, 0.6012683944212263, 0.5109207378598879, 0.4642987199664858, 0.4997654303058515, 0.45944817044791675, 0.46527059068552845, 0.4844126408571233, 0.4681108418125004, 0.481772323769316, 0.4873597709684657]

LightGBM (auc): [0.9889406320164831, 0.914012786024243, 0.9301640392304401, 0.9261862073073944, 0.9136974876056956, 0.9364240444018708, 0.9158891923933418, 0.9061789743497353, 0.8674566933246585, 0.9224411148368483, 0.9050998362740389]

Nearest Neighbors (precision): [0.8848185374334451, 0.75415313225058, 0.7131294018711237, 0.6611943587483473, 0.7452616690240452, 0.7847846504763183, 0.7626078301260784, 0.8212938005390835, 0.8062923412561718, 0.7562531265632816, 0.7739130434782608]

Decision Tree (precision): [0.914236455139435, 0.8774348872838695, 0.8972515023150428, 0.9014761012183693, 0.8889384478144514, 0.8961964266140524, 0.8735036406269283, 0.8922651933701657, 0.8792438634439951, 0.8236421725239617, 0.8363514419852448]

Random Forest (precision): [0.9335585413154146, 0.9058720035188036, 0.9289279297264923, 0.9391601315456615, 0.9300291545189504, 0.9415629322268326, 0.9150628688734924, 0.923916532905297, 0.9243809354752818, 0.8904717662847115, 0.8879385964912281]

Neural Net (precision): [0.7289542114905867, 0.5255226868327402, 0.5526058631921824, 0.5540308747855918, 0.5609020877525958, 0.5821647301242058, 0.5395858708891595, 0.6351898032696037, 0.6825753923616691, 0.5486456605859591, 0.546388336646786]

QDA (precision): [0.6386861827801285, 0.5781218714543149, 0.597445789543701, 0.5779436715303699, 0.6066059853813267, 0.5791601460615545, 0.5450399841385236, 0.6791919762678345, 0.6486189464429628, 0.5242148517757558, 0.533086053412463]

Naive Bayes (precision): [0.8834632860193568, 0.9035139964264444, 0.6605080831408776, 0.7397590361445783, 0.7113163972286374, 0.7424242424242424, 0.7884940778341794, 0.8600973236009732, 0.9781586950511474, 0.9565217391304348, 0.9263521288837745]

SGD (precision): [0.6956563187752326, 0.8367417677642981, 0.6125108601216334, 0.32666666666666666, 0.5196003074558032, 0.23986254295532647, 0.2937024972855592, 0.42467248908296945, 0.18108974358974358, 0.2443502824858757, 0.2980456026058632]

LightGBM (precision): [0.9565475701899417, 0.9302050896596156, 0.9384118280622735, 0.9658013544018059, 0.9501609386356556, 0.9624872579001019, 0.9492631342108223, 0.95649332461955, 0.9502029769959405, 0.9327688226892471, 0.9224093398078314]

Nearest Neighbors (recall): [0.8733792604379316, 0.8360082304526749, 0.6551424432641236, 0.6184047815333883, 0.5052742616033755, 0.5643573909687379, 0.4768672199170125, 0.5169664065151001, 0.5421556516368129, 0.6025308888003188, 0.5298670371105378]

Decision Tree (recall): [0.9145888249527676, 0.8248971193415637, 0.8795750845002415, 0.7929719703215169, 0.7644802454929037, 0.7888846005403319, 0.7342323651452282, 0.7124194095690533, 0.7218190240889438, 0.7706257473096851, 0.7424092081762255]

Random Forest (recall): [0.9202556622528129, 0.8475308641975309, 0.8986962819893771, 0.7651483924154988, 0.7647679324894515, 0.788209185642609, 0.7398340248962656, 0.7324397692568714, 0.8041229153798641, 0.8595057791948983, 0.8035324469140702]

Neural Net (recall): [0.6983207414123098, 0.9723251028806584, 0.9830033800096571, 0.9652720527617478, 0.9635596471039509, 0.9813778463913547, 0.9650414937759336, 0.9723447573803868, 0.9838634959851761, 0.988939816660024, 0.9817424092081762]

QDA (recall): [0.959425315003608, 0.8911522633744856, 0.8674070497344278, 0.8775762572135202, 0.8435941695435366, 0.8570050173678117, 0.8554979253112033, 0.8157448252460129, 0.6835237801111798, 0.711837385412515, 0.713038301250248]

Naive Bayes (recall): [0.09320498825096676, 0.1560699588477366, 0.0276195074843071, 0.03163643858202803, 0.029535864978902954, 0.02836742570436125, 0.0483402489626556, 0.05997624703087886, 0.2731624459542928, 0.2630530091669988, 0.15975391942845804]

SGD (recall): [0.5578865719754206, 0.2483539094650206, 0.0680830516658619, 0.07574196207749381, 0.06482546988876103, 0.0336742570436125, 0.05612033195020747, 0.0329996606718697, 0.008724521309450279, 0.017237943403746514, 0.01815836475491169]

LightGBM (recall): [0.9479102139495872, 0.8912551440329218, 0.9255432158377596, 0.8818013190436933, 0.8775412351361719, 0.9110382091856426, 0.8753112033195021, 0.8691041737360027, 0.8132334774552192, 0.9110203268234356, 0.8858900575511014]

