Size: 10000

['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

XGBoost (accuracy): [0.882, 0.9055, 0.9305, 0.9042, 0.9216, 0.9491, 0.9224, 0.9125, 0.8973, 0.9443, 0.9412]

AdaBoost (CB) (accuracy): [0.9153, 0.9119, 0.9331, 0.9196, 0.9222, 0.951, 0.9306, 0.9028, 0.8898, 0.9455, 0.9476]

AdaBoost (RF) (accuracy): [0.8726, 0.8922, 0.9242, 0.8878, 0.9069, 0.9422, 0.9187, 0.8974, 0.8651, 0.9262, 0.9298]

AdaBoost (LGBM) (accuracy): [0.8998, 0.9089, 0.9309, 0.9189, 0.9227, 0.9531, 0.9248, 0.9165, 0.8785, 0.944, 0.9447]

XGBoost (auc): [0.8855614322849601, 0.9050092337813113, 0.9301901318436645, 0.9036122291180205, 0.9206457834211356, 0.9491184203718072, 0.9221445697291369, 0.9092675039464814, 0.8871054268121835, 0.9443339751444074, 0.9414561456145615]

AdaBoost (CB) (auc): [0.9186639941527063, 0.9116913695521861, 0.9329058201662048, 0.9191261751874156, 0.9209624877528098, 0.9508151551855358, 0.9305582573819903, 0.8940408888105958, 0.8811193112254421, 0.9454622290015253, 0.9478367836783679]

AdaBoost (RF) (auc): [0.8815548772230803, 0.8915535432206181, 0.9245657850039939, 0.8868562072426366, 0.9059286521779546, 0.9421299170147016, 0.9183458017619912, 0.8948812539035094, 0.8492578017467137, 0.9260423595308945, 0.9301810181018101]

AdaBoost (LGBM) (auc): [0.9012479665208618, 0.9085181067107165, 0.9305481816180732, 0.9184137658227849, 0.9217802230671145, 0.9529978385023399, 0.9245930248848222, 0.9128680733793613, 0.8670972120954693, 0.9441224275461979, 0.944945494549455]

XGBoost (precision): [0.928173719376392, 0.9145099703012304, 0.9297945205479452, 0.9498871331828442, 0.9114978707646733, 0.9528246942341293, 0.9271702838063439, 0.9262874453046113, 0.9198396793587175, 0.9478588421887391, 0.9659565580618212]

AdaBoost (CB) (precision): [0.953603520997616, 0.9130615640599001, 0.9344168260038241, 0.956953642384106, 0.9073768991396669, 0.9495201535508637, 0.9285714285714286, 0.9002738843241501, 0.9185104393892178, 0.944815396700707, 0.9706738768718802]

AdaBoost (RF) (precision): [0.9482348274494248, 0.9046087888531619, 0.9371933267909716, 0.9645114244044726, 0.8981104112634309, 0.9441437959025899, 0.9266035751840168, 0.9181555215245873, 0.8902086188518349, 0.9195202166763398, 0.9663234663234663]

AdaBoost (LGBM) (precision): [0.932023079697079, 0.9149473684210526, 0.9293581466008356, 0.9572914361584421, 0.9130515387467557, 0.9535376903797956, 0.9280665280665281, 0.9276381909547738, 0.9064770443654352, 0.9528585757271816, 0.9685351114815587]

XGBoost (recall): [0.8631342768381084, 0.8883165052544818, 0.9374640322271245, 0.8511326860841424, 0.9414802065404475, 0.9485890993428682, 0.9123203285420944, 0.9264433597037536, 0.9216867469879518, 0.9420689655172414, 0.9158415841584159]

AdaBoost (CB) (recall): [0.8974801518812565, 0.9045950958170204, 0.9374640322271245, 0.8768203883495146, 0.9479824058137312, 0.9561267877850792, 0.928952772073922, 0.9405823935364417, 0.9105653382761817, 0.9479802955665024, 0.9241584158415842]

AdaBoost (RF) (recall): [0.8251639627200552, 0.8695652173913043, 0.9159792825628237, 0.8025889967637541, 0.9271371199082042, 0.9441437959025899, 0.9047227926078029, 0.9082646019188689, 0.9029966017917825, 0.9365517241379311, 0.8920792079207921]

AdaBoost (LGBM) (recall): [0.892129789437349, 0.8955285390480116, 0.9388068290811433, 0.875, 0.9418626888506406, 0.9559335137224585, 0.9166324435318275, 0.9321663019693655, 0.905776953969725, 0.9359605911330049, 0.9203960396039604]

