Size: 500

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

CB default (accuracy): [0.8860000000000001, 0.874, 0.868, 0.864, 0.826, 0.83, 0.86, 0.832, 0.798, 0.816, 0.804]

CB (random_strength = 2) (accuracy): [0.882, 0.868, 0.872, 0.872, 0.824, 0.828, 0.854, 0.828, 0.796, 0.814, 0.822]

CB (random_strength = 0.5) (accuracy): [0.883, 0.864, 0.866, 0.886, 0.826, 0.83, 0.85, 0.836, 0.794, 0.818, 0.818]

CB default (auc): [0.9570492424242424, 0.8733318380621286, 0.8672519585382655, 0.8654585040983607, 0.8348214285714286, 0.8350488934637159, 0.8597670250896057, 0.8370095647081788, 0.8106769400110072, 0.8151140608217509, 0.8038757581091677]

CB (random_strength = 2) (auc): [0.9555093795093794, 0.8671077716720871, 0.8715455229978052, 0.8736552254098362, 0.8321687370600415, 0.8337622233659289, 0.8537506400409626, 0.8345045220899212, 0.8090946615299945, 0.8131983520094903, 0.8219983677649582]

CB (random_strength = 0.5) (auc): [0.9566834415584415, 0.8633909546772618, 0.8654656434739422, 0.8872310450819672, 0.835241977225673, 0.8347593926917138, 0.8497823860727087, 0.8415967206714816, 0.807512383048982, 0.8170297696340114, 0.8179977916820023]

CB default (precision): [0.8923321729977266, 0.8803418803418803, 0.8614232209737828, 0.9196428571428571, 0.92, 0.9030837004405287, 0.8803418803418803, 0.8928571428571429, 0.9026217228464419, 0.8164794007490637, 0.8015564202334631]

CB (random_strength = 2) (precision): [0.8842429708277463, 0.8787878787878788, 0.870722433460076, 0.9363636363636364, 0.9122807017543859, 0.9099099099099099, 0.8755364806866953, 0.8983739837398373, 0.9022556390977443, 0.8157894736842105, 0.8253968253968254]

CB (random_strength = 0.5) (precision): [0.8867805099840786, 0.8680851063829788, 0.8636363636363636, 0.9344978165938864, 0.9237668161434978, 0.8995633187772926, 0.8680851063829788, 0.9, 0.9018867924528302, 0.8171641791044776, 0.8214285714285714]

CB default (recall): [0.906590909090909, 0.8547717842323651, 0.888030888030888, 0.8046875, 0.75, 0.7649253731343284, 0.8306451612903226, 0.7978723404255319, 0.7626582278481012, 0.8352490421455939, 0.8142292490118577]

CB (random_strength = 2) (recall): [0.9084415584415584, 0.8423236514522822, 0.8841698841698842, 0.8046875, 0.7536231884057971, 0.753731343283582, 0.8225806451612904, 0.7836879432624113, 0.759493670886076, 0.8314176245210728, 0.8221343873517787]

CB (random_strength = 0.5) (recall): [0.9066233766233764, 0.8464730290456431, 0.8803088803088803, 0.8359375, 0.7463768115942029, 0.7686567164179104, 0.8225806451612904, 0.7978723404255319, 0.7563291139240507, 0.8390804597701149, 0.8181818181818182]

