Size: 1000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

CB 4, 25 (accuracy): [0.8985, 0.876, 0.9, 0.904, 0.882, 0.892, 0.885, 0.882, 0.816, 0.856, 0.867]

CB 4, 100 (accuracy): [0.9005000000000001, 0.875, 0.899, 0.894, 0.861, 0.856, 0.877, 0.865, 0.814, 0.864, 0.862]

CB 4, 250 (accuracy): [0.8960000000000001, 0.887, 0.904, 0.899, 0.871, 0.888, 0.878, 0.877, 0.807, 0.868, 0.868]

CB 6, 25 (accuracy): [0.8935000000000001, 0.883, 0.911, 0.902, 0.878, 0.89, 0.89, 0.873, 0.815, 0.851, 0.862]

CB 6, 100 (accuracy): [0.8965, 0.876, 0.901, 0.896, 0.857, 0.886, 0.875, 0.881, 0.802, 0.856, 0.859]

CB 6, 250 (accuracy): [0.8995000000000001, 0.878, 0.901, 0.899, 0.859, 0.887, 0.884, 0.886, 0.807, 0.857, 0.868]

CB 10, 25 (accuracy): [0.8715000000000002, 0.851, 0.869, 0.863, 0.795, 0.81, 0.842, 0.826, 0.805, 0.8, 0.806]

CB 10, 100 (accuracy): [0.8989999999999998, 0.869, 0.899, 0.893, 0.855, 0.888, 0.873, 0.861, 0.802, 0.859, 0.853]

CB 10, 250 (accuracy): [0.898, 0.876, 0.899, 0.89, 0.863, 0.859, 0.879, 0.877, 0.826, 0.867, 0.863]

CB 4, 25 (auc): [0.9640264489281343, 0.8754543562152728, 0.8989992943742382, 0.90328131252501, 0.8871856248816244, 0.8926765251904487, 0.8842179614933627, 0.8842064125319569, 0.8215121078701156, 0.8556672160791154, 0.8668668648642159]

CB 4, 100 (auc): [0.9629338822807924, 0.8748739011384925, 0.898429982680095, 0.8932372949179672, 0.8659425108099504, 0.8569553805774277, 0.8762581089247196, 0.8681140186611518, 0.8165244909190974, 0.8635483509625387, 0.8617392035019346]

CB 4, 250 (auc): [0.9626790249683509, 0.8869393604585996, 0.9032009750465071, 0.898219287715086, 0.874977332350061, 0.8886755009282377, 0.8770604972806839, 0.8803268144143557, 0.8115540726472207, 0.8675489270454946, 0.8677771597997751]

CB 6, 25 (auc): [0.9596898927920698, 0.8827680901827032, 0.909976586054269, 0.9013205282112845, 0.882809257266745, 0.8906440048652455, 0.8891983720120538, 0.8762558824966211, 0.8190182993946064, 0.8506544942471717, 0.8619552735086169]

CB 6, 100 (auc): [0.9610868189344313, 0.8758466637844069, 0.900242157931875, 0.8951580632252901, 0.8620859879670039, 0.8866109724089367, 0.8743011617622929, 0.8852037908518018, 0.8070308200330215, 0.8556192091661198, 0.8587562370207947]

CB 6, 250 (auc): [0.9633562391462671, 0.8777921890762357, 0.9001459362370902, 0.8982993197278911, 0.863061200639933, 0.8876912489597337, 0.8834155731373986, 0.8898894334891142, 0.8132567418822234, 0.8566313549151078, 0.8678131714675555]

CB 10, 25 (auc): [0.9470262312783382, 0.8505188067444878, 0.867494707806787, 0.8619647859143656, 0.8023965246966566, 0.8117758146085399, 0.8410430648433841, 0.832586995815082, 0.8128095762245459, 0.7998031716567185, 0.8060811702991769]

CB 10, 100 (auc): [0.9644320568653434, 0.868645017693872, 0.898429982680095, 0.8921368547418967, 0.8609374937034304, 0.8887715255105306, 0.8721241080683051, 0.8653864942762698, 0.8041930379746836, 0.8586556464130833, 0.8528983390618561]

CB 10, 250 (auc): [0.9646132930455262, 0.8756785319690636, 0.8985262043748796, 0.8892356942777111, 0.8689971025706122, 0.8601321938416234, 0.8781270134745216, 0.8805954959209261, 0.8328288387451843, 0.8665847882095022, 0.8629375917797366]

CB 4, 25 (precision): [0.9116628059858796, 0.8851063829787233, 0.8925925925925926, 0.9320175438596491, 0.9492600422832981, 0.9310344827586207, 0.9100877192982456, 0.9194756554307116, 0.8971631205673759, 0.8402255639097744, 0.8657587548638133]

CB 4, 100 (precision): [0.9168155951839914, 0.8721649484536083, 0.8983050847457628, 0.9229074889867841, 0.9261603375527426, 0.9080717488789237, 0.8995633187772926, 0.9104761904761904, 0.8885017421602788, 0.8413284132841329, 0.8560460652591171]

CB 4, 250 (precision): [0.9137670596136427, 0.8829568788501027, 0.8992537313432836, 0.9293598233995585, 0.9259259259259259, 0.9267241379310345, 0.9086859688195991, 0.9219047619047619, 0.8884955752212389, 0.8450184501845018, 0.8631984585741811]

CB 6, 25 (precision): [0.9105618973458022, 0.8835758835758836, 0.9020332717190388, 0.9279475982532751, 0.9412997903563941, 0.927038626609442, 0.9164835164835164, 0.9180952380952381, 0.8927943760984183, 0.8348968105065666, 0.8644400785854617]

CB 6, 100 (precision): [0.9158790194365742, 0.8739669421487604, 0.897196261682243, 0.9288888888888889, 0.923728813559322, 0.9209401709401709, 0.8956521739130435, 0.930635838150289, 0.8861209964412812, 0.8376865671641791, 0.8538461538461538]

CB 6, 250 (precision): [0.918180754786863, 0.8775933609958506, 0.8957169459962756, 0.925601750547046, 0.9152892561983471, 0.9265658747300216, 0.9010752688172043, 0.9329501915708812, 0.8926654740608229, 0.8392523364485981, 0.8646034816247582]

CB 10, 25 (precision): [0.8804595589576205, 0.8562367864693446, 0.8579234972677595, 0.9002267573696145, 0.884090909090909, 0.9035532994923858, 0.8685968819599109, 0.8967611336032388, 0.895117540687161, 0.7942307692307692, 0.8143712574850299]

CB 10, 100 (precision): [0.9158598182440857, 0.8721174004192872, 0.8983050847457628, 0.9265033407572383, 0.9307359307359307, 0.9323144104803494, 0.9004424778761062, 0.9145631067961165, 0.8793706293706294, 0.8424015009380863, 0.853515625]

