Size: 20000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

AdaBoost (RF) (accuracy): [0.9498749999999999, 0.9233, 0.9388, 0.9215, 0.90625, 0.91795, 0.9052, 0.88055, 0.87615, 0.9234, 0.9091]

LightGBM (accuracy): [0.9475, 0.91465, 0.93, 0.9275, 0.91215, 0.9355, 0.91735, 0.89955, 0.85145, 0.9224, 0.90495]

Adaboost (LGBM) (accuracy): [0.9627000000000001, 0.94065, 0.9463, 0.9371, 0.931, 0.9389, 0.92805, 0.9213, 0.90035, 0.9423, 0.92315]

Optimized LightGBM (accuracy): [0.9619500000000001, 0.94015, 0.94575, 0.94135, 0.93315, 0.93885, 0.92725, 0.91315, 0.89405, 0.9435, 0.92495]

Adaboost (Opt. LGBM) (accuracy): [0.959225, 0.9385, 0.9435, 0.93825, 0.9295, 0.94245, 0.9292, 0.917, 0.8969, 0.94455, 0.92945]

AdaBoost (RF) (auc): [0.9901968910764067, 0.9223375126098863, 0.9394407802433016, 0.9197602571469019, 0.9087685786330832, 0.919884069596853, 0.902773594578574, 0.8920372307254433, 0.8894051922439196, 0.9234908084408775, 0.9093729462500498]

LightGBM (auc): [0.9889406320164831, 0.914012786024243, 0.9301640392304401, 0.9261862073073944, 0.9136974876056956, 0.9364240444018708, 0.9158891923933418, 0.9061789743497353, 0.8674566933246585, 0.9224411148368483, 0.9050998362740389]

Adaboost (LGBM) (auc): [0.9933324686443571, 0.9401116475316648, 0.9465521423373807, 0.9357916632236501, 0.9325670736682283, 0.9401966829971038, 0.9262462150947628, 0.9276036905281173, 0.9109676503972759, 0.942345332795513, 0.923332925575192]

Optimized LightGBM (auc): [0.9934564311090075, 0.9395131783318121, 0.9460778696352078, 0.9401298241467243, 0.9347274511340855, 0.9401994666853795, 0.9254163395760906, 0.9207822323295248, 0.9063622410240483, 0.9435626285716663, 0.9251813980362565]

Adaboost (Opt. LGBM) (auc): [0.9927583942494602, 0.9380230100398713, 0.9437734905414548, 0.937024143073195, 0.9310943358481801, 0.9435891979437073, 0.9275436966308335, 0.9235310918283407, 0.9067517434494885, 0.9445851018229195, 0.9295607644769108]

AdaBoost (RF) (precision): [0.9643824252416211, 0.9509695901278096, 0.9587981107426389, 0.9742304104477612, 0.9662051673389295, 0.9718706047819972, 0.9630471179143746, 0.9645151724819611, 0.9593895272344531, 0.9463573378123031, 0.9410508329773601]

LightGBM (precision): [0.9565475701899417, 0.9302050896596156, 0.9384118280622735, 0.9658013544018059, 0.9501609386356556, 0.9624872579001019, 0.9492631342108223, 0.95649332461955, 0.9502029769959405, 0.9327688226892471, 0.9224093398078314]

Adaboost (LGBM) (precision): [0.9708589822305036, 0.9553847795922724, 0.956068796068796, 0.9767441860465116, 0.9693919900394272, 0.9757493755203996, 0.9718099183062938, 0.9718218773096822, 0.9680533014435808, 0.9540899795501022, 0.9449828071272273]

Optimized LightGBM (precision): [0.9717251125671771, 0.9582750833422948, 0.9574615080931701, 0.9784632641615255, 0.9717695900363259, 0.977137488255559, 0.9717579250720461, 0.9718336306450098, 0.9683527885862516, 0.9598306484923586, 0.9527076955557902]

Adaboost (Opt. LGBM) (precision): [0.9673986736955709, 0.9509241555130656, 0.953941541186891, 0.975092561427129, 0.9685162094763092, 0.9750438279880376, 0.968764249886001, 0.9695845697329377, 0.9640361343105506, 0.9537460607908915, 0.9429622815087396]

AdaBoost (RF) (recall): [0.9440115701765748, 0.887962962962963, 0.9213906325446645, 0.8609851607584501, 0.8499232834675873, 0.8667502894635276, 0.8353734439834025, 0.827790973871734, 0.8445027794935145, 0.8982662415304903, 0.8743798372692995]

LightGBM (recall): [0.9479102139495872, 0.8912551440329218, 0.9255432158377596, 0.8818013190436933, 0.8775412351361719, 0.9110382091856426, 0.8753112033195021, 0.8691041737360027, 0.8132334774552192, 0.9110203268234356, 0.8858900575511014]

Adaboost (LGBM) (recall): [0.9612387366551335, 0.9208847736625514, 0.9394495412844037, 0.8915910964550701, 0.8959532029152283, 0.9045735237360093, 0.8761410788381743, 0.8923481506616898, 0.875, 0.9297528895974492, 0.8998809287557055]

Optimized LightGBM (recall): [0.9589268599552241, 0.9167695473251029, 0.9368421052631579, 0.8989076669414674, 0.8978711162255466, 0.9031262060980316, 0.8744813278008299, 0.8780963691890058, 0.8646541074737493, 0.9261658031088082, 0.8955149831315737]

Adaboost (Opt. LGBM) (recall): [0.9583825805934341, 0.9209876543209876, 0.9360695316272333, 0.8956100577081616, 0.893843498273878, 0.9122925511385566, 0.8815352697095435, 0.8870037326094333, 0.8733786287831995, 0.9348345954563572, 0.9153601905139909]

