Size: 10000

['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']

Nearest Neighbors (accuracy): [0.6166, 0.7612, 0.6675, 0.6827, 0.7635, 0.8061, 0.7694, 0.7297, 0.7679, 0.7458, 0.7496]

Decision Tree (accuracy): [0.7587, 0.8476, 0.8775, 0.8169, 0.8604, 0.9031, 0.8783, 0.8376, 0.8607, 0.8781, 0.8704]

Random Forest (accuracy): [0.8489, 0.8711, 0.9048, 0.8323, 0.8818, 0.9269, 0.8982, 0.8476, 0.8396, 0.9065, 0.8978]

Neural Net (default) (accuracy): [0.62, 0.5839, 0.5035, 0.5463, 0.521, 0.5404, 0.5787, 0.6296, 0.7534, 0.6215, 0.5921]

QDA (accuracy): [0.526, 0.6738, 0.8016, 0.5269, 0.6804, 0.6839, 0.6971, 0.7072, 0.6854, 0.7702, 0.6738]

Naive Bayes (accuracy): [0.4434, 0.5598, 0.4901, 0.5121, 0.5038, 0.5103, 0.5061, 0.427, 0.5393, 0.6361, 0.5659]

SGD (accuracy): [0.6493, 0.5202, 0.5161, 0.5805, 0.5458, 0.588, 0.5709, 0.3967, 0.3555, 0.6656, 0.5483]

LightGBM (accuracy): [0.8914, 0.9057, 0.9306, 0.9125, 0.9154, 0.9463, 0.9245, 0.9104, 0.8738, 0.9448, 0.9426]

Nearest Neighbors (auc): [0.6307593357025181, 0.7615289551676887, 0.6706809850243829, 0.6824708891483346, 0.7599783008830643, 0.8045304385422922, 0.7708414888464601, 0.7155797509375991, 0.736090967123435, 0.7438013553049436, 0.7492589258925892]

Decision Tree (auc): [0.7707521972900295, 0.8480095855653793, 0.8764536129586529, 0.815883464421777, 0.8586103353839146, 0.9030626449855834, 0.8786625759013093, 0.8357730461055434, 0.8373361240239986, 0.8778370133279988, 0.8707250725072506]

Random Forest (auc): [0.8593432775407882, 0.8707560266792206, 0.9048915209365348, 0.8307880540535003, 0.88019300806143, 0.9265988282449578, 0.8980686944374399, 0.8396235479546575, 0.8112898384409842, 0.9061743892375785, 0.8981898189818982]

Neural Net (default) (auc): [0.5535751891170477, 0.5942950248476773, 0.5231209189188171, 0.5412976603785179, 0.5411696591237644, 0.5554938452663714, 0.5890275826458686, 0.5475541519198455, 0.6695543463614044, 0.6269855717536447, 0.596030603060306]

QDA (auc): [0.5885451212832531, 0.664184054129027, 0.8077518757941161, 0.5215793469132769, 0.6728437439510615, 0.6936174785111762, 0.6897688837654254, 0.7284465844000455, 0.6796065977772954, 0.7674806831537095, 0.6769896989698969]

Naive Bayes (auc): [0.5173948126441655, 0.5468192086511897, 0.5102172218054436, 0.516639207222154, 0.525071731466794, 0.5265384991840518, 0.5143855246146395, 0.515377603011696, 0.6408989945558227, 0.6412467805256182, 0.5628352835283528]

SGD (auc): [0.6311208932584925, 0.5337914279586704, 0.5325003403175947, 0.5850164244602843, 0.5243663317922206, 0.5854308201404229, 0.5806447158278997, 0.4857795214575916, 0.5015294390179068, 0.6628781475832062, 0.5438053805380538]

LightGBM (auc): [0.8935755272437373, 0.9052859129317016, 0.9301836200262787, 0.9119905600958584, 0.9142399863649986, 0.9461965618843045, 0.9242798131536919, 0.9064465270901735, 0.861853014396256, 0.9448595934085169, 0.9428382838283829]

Nearest Neighbors (precision): [0.727062094531974, 0.7447864945382324, 0.7182154415164124, 0.6854450261780105, 0.7432065217391305, 0.7910743206766241, 0.7337709700948213, 0.7629954515919428, 0.8064944649446495, 0.6988538232061549, 0.7372344390607529]

Decision Tree (precision): [0.8619139370584458, 0.8304546356958507, 0.8688494265630781, 0.8836578752772984, 0.845004500450045, 0.9081731702582023, 0.8623289029954374, 0.8767673241403386, 0.8743185501694416, 0.8685015290519877, 0.8983446519524618]

Random Forest (precision): [0.935884388357419, 0.8732718894009217, 0.9136090079596195, 0.9521173539994464, 0.8662443438914027, 0.9243553008595988, 0.8974411886091622, 0.8642586178459508, 0.8540273335271882, 0.8921940128836681, 0.9331182795698925]

Neural Net (default) (precision): [0.6075744497194648, 0.5406676069581571, 0.806930693069307, 0.8846880907372401, 0.8569105691056911, 0.9237536656891495, 0.5367080120683875, 0.6183723145306381, 0.7401725790987536, 0.973568281938326, 0.9499536607970342]

QDA (precision): [0.9384359400998337, 0.9732302201070792, 0.9378898833740168, 0.9311740890688259, 0.6510625650170903, 0.9424175824175824, 0.9319568277803848, 0.8502673796791443, 0.790604261264408, 0.7026119947468262, 0.9890590809628009]

Naive Bayes (precision): [0.8097826086956522, 0.8949211908931699, 0.7021276595744681, 0.5035907634515523, 0.8637602179836512, 0.9037900874635568, 0.4957839423194427, 0.8168168168168168, 0.9740985271711529, 0.9515723270440252, 0.5439226861603271]

SGD (precision): [0.6799937037620022, 0.5028607094559451, 0.6606529209621993, 0.5415050426687354, 0.5354452584872562, 0.5913661581137309, 0.5331729116534891, 0.30833333333333335, 0.7843137254901961, 0.6265535897060974, 0.5280555847983999]

LightGBM (precision): [0.9289358600583091, 0.9124472573839663, 0.9278545729975384, 0.9522116025783507, 0.9026272276318207, 0.9471552555448409, 0.9281997918834547, 0.9221757322175732, 0.9026576019777504, 0.9498706982295604, 0.9656679151061174]

Nearest Neighbors (recall): [0.5415947531929582, 0.7727179064496188, 0.5960099750623441, 0.6620145631067961, 0.83687129470262, 0.8496327792810204, 0.8262833675564681, 0.790607641811143, 0.8439913500154465, 0.8770443349753695, 0.7833663366336634]

Decision Tree (recall): [0.6948567483603728, 0.8619410673810014, 0.9010166890466142, 0.725121359223301, 0.8976859820233314, 0.904136064940085, 0.8926078028747433, 0.84548055882848, 0.9165894346617238, 0.8953694581280788, 0.8382178217821782]

Random Forest (recall): [0.793579565067311, 0.8590562538635895, 0.9027431421446384, 0.6957928802588996, 0.9152801682922165, 0.9352531890220332, 0.8930184804928132, 0.882006396229591, 0.907321594068582, 0.9278817733990148, 0.8592079207920792]

Neural Net (default) (recall): [0.9718674490852606, 0.9478672985781991, 0.0625359677728755, 0.09466019417475728, 0.10078408873589596, 0.12176265945110167, 0.9862422997946612, 0.9835044605285306, 0.9539697250540624, 0.2612807881773399, 0.20297029702970298]

QDA (recall): [0.19468415602347255, 0.33711106532042034, 0.6633416458852868, 0.046521035598705504, 0.8378275004781028, 0.41437959025898724, 0.4078028747433265, 0.6155529372159569, 0.6992585727525487, 0.948768472906404, 0.358019801980198]

Naive Bayes (recall): [0.051432516396272006, 0.10529569338553472, 0.03798196815653175, 0.9219255663430421, 0.06062344616561484, 0.05991495941244685, 0.8330595482546201, 0.0457835381248948, 0.2962619709607661, 0.298128078817734, 0.8693069306930693]

SGD (recall): [0.7455988954090439, 0.9960848959406553, 0.14751582582006523, 0.9882686084142395, 0.9923503537961369, 0.6592578275995361, 0.9554414784394251, 0.012455815519272849, 0.006178560395427865, 0.8443349753694581, 0.9932673267326733]

LightGBM (recall): [0.8798757335174319, 0.8912013187718937, 0.9399577978131594, 0.866504854368932, 0.9395677949894817, 0.9491689215307306, 0.9158110882956879, 0.9274532906918027, 0.9023787457522398, 0.9408866995073891, 0.919009900990099]

