Size: 20000

['Training data', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

AdaBoost (RF) (accuracy): [0.9500249999999999, 0.9221, 0.9384, 0.92095, 0.9067, 0.91895, 0.9044, 0.8814, 0.8858, 0.9279, 0.9085]

LightGBM (accuracy): [0.9475, 0.91465, 0.93, 0.9275, 0.91215, 0.9355, 0.91735, 0.89955, 0.85145, 0.9224, 0.90495]

Adaboost (LGBM) (accuracy): [0.9627000000000001, 0.94065, 0.9463, 0.9371, 0.931, 0.9389, 0.92805, 0.9213, 0.90035, 0.9423, 0.92315]

Optimized LightGBM (accuracy): [0.9619500000000001, 0.94015, 0.94575, 0.94135, 0.93315, 0.93885, 0.92725, 0.91315, 0.89405, 0.9435, 0.92495]

AdaBoost (RF) (auc): [0.9904294719643539, 0.9210889337240398, 0.9390011762323468, 0.9191994057513432, 0.9092258362558869, 0.9208598825099303, 0.901976161104792, 0.8925735980897133, 0.8968234409912369, 0.9279775465890037, 0.9087768099811193]

LightGBM (auc): [0.9889406320164831, 0.914012786024243, 0.9301640392304401, 0.9261862073073944, 0.9136974876056956, 0.9364240444018708, 0.9158891923933418, 0.9061789743497353, 0.8674566933246585, 0.9224411148368483, 0.9050998362740389]

Adaboost (LGBM) (auc): [0.9933324686443571, 0.9401116475316648, 0.9465521423373807, 0.9357916632236501, 0.9325670736682283, 0.9401966829971038, 0.9262462150947628, 0.9276036905281173, 0.9109676503972759, 0.942345332795513, 0.923332925575192]

Optimized LightGBM (auc): [0.9934564311090075, 0.9395131783318121, 0.9460778696352078, 0.9401298241467243, 0.9347274511340855, 0.9401994666853795, 0.9254163395760906, 0.9207822323295248, 0.9063622410240483, 0.9435626285716663, 0.9251813980362565]

AdaBoost (RF) (precision): [0.9639148671244724, 0.9513381995133819, 0.9573849393362077, 0.9739759598552923, 0.9668484187568157, 0.9722372258831155, 0.9619799139167863, 0.963659641520583, 0.9599862021386685, 0.9476041666666667, 0.9408809065640368]

LightGBM (precision): [0.9565475701899417, 0.9302050896596156, 0.9384118280622735, 0.9658013544018059, 0.9501609386356556, 0.9624872579001019, 0.9492631342108223, 0.95649332461955, 0.9502029769959405, 0.9327688226892471, 0.9224093398078314]

Adaboost (LGBM) (precision): [0.9708589822305036, 0.9553847795922724, 0.956068796068796, 0.9767441860465116, 0.9693919900394272, 0.9757493755203996, 0.9718099183062938, 0.9718218773096822, 0.9680533014435808, 0.9540899795501022, 0.9449828071272273]

Optimized LightGBM (precision): [0.9717251125671771, 0.9582750833422948, 0.9574615080931701, 0.9784632641615255, 0.9717695900363259, 0.977137488255559, 0.9717579250720461, 0.9718336306450098, 0.9683527885862516, 0.9598306484923586, 0.9527076955557902]

AdaBoost (RF) (recall): [0.9447822985344032, 0.8849794238683127, 0.9220666344760985, 0.8600577081615829, 0.8502109704641351, 0.8683905827865689, 0.8346473029045643, 0.8300814387512725, 0.8594811612106238, 0.9064368274212834, 0.8732883508632665]

LightGBM (recall): [0.9479102139495872, 0.8912551440329218, 0.9255432158377596, 0.8818013190436933, 0.8775412351361719, 0.9110382091856426, 0.8753112033195021, 0.8691041737360027, 0.8132334774552192, 0.9110203268234356, 0.8858900575511014]

Adaboost (LGBM) (recall): [0.9612387366551335, 0.9208847736625514, 0.9394495412844037, 0.8915910964550701, 0.8959532029152283, 0.9045735237360093, 0.8761410788381743, 0.8923481506616898, 0.875, 0.9297528895974492, 0.8998809287557055]

Optimized LightGBM (recall): [0.9589268599552241, 0.9167695473251029, 0.9368421052631579, 0.8989076669414674, 0.8978711162255466, 0.9031262060980316, 0.8744813278008299, 0.8780963691890058, 0.8646541074737493, 0.9261658031088082, 0.8955149831315737]

