Size: 10000

['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.6166, 0.7612, 0.6675, 0.6827, 0.7635, 0.8061, 0.7694, 0.7297, 0.7679, 0.7458, 0.7496]

Decision Tree (accuracy): [0.7359, 0.8444, 0.8779, 0.8218, 0.8598, 0.8993, 0.8734, 0.8385, 0.8395, 0.8757, 0.8661]

Random Forest (accuracy): [0.8496, 0.8718, 0.9063, 0.8248, 0.8777, 0.928, 0.9029, 0.8513, 0.8482, 0.9055, 0.9029]

Neural Net (default) (accuracy): [0.6321, 0.623, 0.5286, 0.5322, 0.6727, 0.5282, 0.7336, 0.502, 0.5251, 0.6275, 0.6367]

QDA (accuracy): [0.526, 0.6738, 0.8016, 0.5269, 0.6804, 0.6839, 0.6971, 0.7072, 0.6854, 0.7702, 0.6738]

Naive Bayes (accuracy): [0.4434, 0.5598, 0.4901, 0.5121, 0.5038, 0.5103, 0.5061, 0.427, 0.5393, 0.6361, 0.5659]

SGD (accuracy): [0.4298, 0.5836, 0.592, 0.5065, 0.5121, 0.5774, 0.5017, 0.6054, 0.6803, 0.5533, 0.4959]

LightGBM (accuracy): [0.8914, 0.9057, 0.9306, 0.9125, 0.9154, 0.9463, 0.9245, 0.9104, 0.8738, 0.9448, 0.9426]

Nearest Neighbors (auc): [0.6307593357025181, 0.7615289551676887, 0.6706809850243829, 0.6824708891483346, 0.7599783008830643, 0.8045304385422922, 0.7708414888464601, 0.7155797509375991, 0.736090967123435, 0.7438013553049436, 0.7492589258925892]

Decision Tree (auc): [0.7505879465057315, 0.8446714602233587, 0.87671777234454, 0.8208322451968375, 0.8581192252115727, 0.8992510690146195, 0.8736786067381549, 0.8361012508688231, 0.819865219418623, 0.8755324948113326, 0.8663496349634963]

Random Forest (auc): [0.8593934630919124, 0.8712712520193954, 0.9065009416488669, 0.8232210248453566, 0.8759788282292469, 0.9277733306143071, 0.902935784590383, 0.8438301215960393, 0.8178672191273932, 0.9051231527093596, 0.9033093309330932]

Neural Net (default) (auc): [0.572423084795444, 0.6124867690637079, 0.5459747731793749, 0.5270177891114661, 0.6766521125373428, 0.5428957885157241, 0.7347779098670699, 0.5776788249435951, 0.6309006259340779, 0.6328128828986522, 0.6335543554355435]

QDA (auc): [0.5885451212832531, 0.664184054129027, 0.8077518757941161, 0.5215793469132769, 0.6728437439510615, 0.6936174785111762, 0.6897688837654254, 0.7284465844000455, 0.6796065977772954, 0.7674806831537095, 0.6769896989698969]

Naive Bayes (auc): [0.5173948126441655, 0.5468192086511897, 0.5102172218054436, 0.516639207222154, 0.525071731466794, 0.5265384991840518, 0.5143855246146395, 0.515377603011696, 0.6408989945558227, 0.6412467805256182, 0.5628352835283528]

SGD (auc): [0.5051046461069225, 0.5722170014874056, 0.5755785369056349, 0.5009774026053829, 0.5307593219841669, 0.5625883570038659, 0.4893974326644812, 0.51637807911491, 0.5486551555495511, 0.5465544747568203, 0.5008830883088309]

LightGBM (auc): [0.8935755272437373, 0.9052859129317016, 0.9301836200262787, 0.9119905600958584, 0.9142399863649986, 0.9461965618843045, 0.9242798131536919, 0.9064465270901735, 0.861853014396256, 0.9448595934085169, 0.9428382838283829]

Nearest Neighbors (precision): [0.727062094531974, 0.7447864945382324, 0.7182154415164124, 0.6854450261780105, 0.7432065217391305, 0.7910743206766241, 0.7337709700948213, 0.7629954515919428, 0.8064944649446495, 0.6988538232061549, 0.7372344390607529]

Decision Tree (precision): [0.852448021462106, 0.8302945301542777, 0.8670467083486576, 0.885609756097561, 0.8459591393961309, 0.9043275761692218, 0.8596806387225548, 0.8755208333333333, 0.8683613254652747, 0.8707430340557275, 0.887612283267182]

Random Forest (precision): [0.932983447719015, 0.879006580343876, 0.9170893484198205, 0.9490714687675859, 0.8610310021629416, 0.9271192942079018, 0.8971277245874923, 0.8684645929847783, 0.8557278208440999, 0.8887424698795181, 0.9404016411142302]

Neural Net (default) (precision): [0.619181787445058, 0.8892882818116463, 0.7651434643995749, 0.8594594594594595, 0.7318634423897582, 0.7878787878787878, 0.7045623145400594, 0.9271111111111111, 0.9799666110183639, 0.9566982408660352, 0.5868366221350656]

QDA (precision): [0.9384359400998337, 0.9732302201070792, 0.9378898833740168, 0.9311740890688259, 0.6510625650170903, 0.9424175824175824, 0.9319568277803848, 0.8502673796791443, 0.790604261264408, 0.7026119947468262, 0.9890590809628009]

Naive Bayes (precision): [0.8097826086956522, 0.8949211908931699, 0.7021276595744681, 0.5035907634515523, 0.8637602179836512, 0.9037900874635568, 0.4957839423194427, 0.8168168168168168, 0.9740985271711529, 0.9515723270440252, 0.5439226861603271]

SGD (precision): [0.6729323308270677, 0.8112014453477868, 0.563744795769101, 0.5652173913043478, 0.6861702127659575, 0.5510885966803191, 0.2915129151291513, 0.6021923983198443, 0.6705172234363618, 0.531986531986532, 0.7647058823529411]

LightGBM (precision): [0.9289358600583091, 0.9124472573839663, 0.9278545729975384, 0.9522116025783507, 0.9026272276318207, 0.9471552555448409, 0.9281997918834547, 0.9221757322175732, 0.9026576019777504, 0.9498706982295604, 0.9656679151061174]

Nearest Neighbors (recall): [0.5415947531929582, 0.7727179064496188, 0.5960099750623441, 0.6620145631067961, 0.83687129470262, 0.8496327792810204, 0.8262833675564681, 0.790607641811143, 0.8439913500154465, 0.8770443349753695, 0.7833663366336634]

Decision Tree (recall): [0.6580945806006213, 0.8539048011539254, 0.9044695952426626, 0.7344255663430421, 0.8948173646968828, 0.9006571318129107, 0.884394250513347, 0.8488469954553105, 0.8864689527340129, 0.8866995073891626, 0.8413861386138614]

Random Forest (recall): [0.7977217811529168, 0.8532866268287657, 0.901784001534625, 0.6822411003236246, 0.9135589978963473, 0.9342868187089293, 0.9043121149897331, 0.8835212927116647, 0.9207599629286376, 0.9302463054187192, 0.8623762376237624]

Neural Net (default) (recall): [0.9482222989299275, 0.2548938800741809, 0.13811624784193363, 0.06432038834951456, 0.5903614457831325, 0.12060301507537688, 0.7800821355236139, 0.17555967008921058, 0.27201112140871175, 0.2786206896551724, 0.9481188118811881]

QDA (recall): [0.19468415602347255, 0.33711106532042034, 0.6633416458852868, 0.046521035598705504, 0.8378275004781028, 0.41437959025898724, 0.4078028747433265, 0.6155529372159569, 0.6992585727525487, 0.948768472906404, 0.358019801980198]

Naive Bayes (recall): [0.051432516396272006, 0.10529569338553472, 0.03798196815653175, 0.9219255663430421, 0.06062344616561484, 0.05991495941244685, 0.8330595482546201, 0.0457835381248948, 0.2962619709607661, 0.298128078817734, 0.8693069306930693]

SGD (recall): [0.03089402830514325, 0.18504018133113537, 0.9610588912334548, 0.007888349514563107, 0.12335054503729202, 0.9882102821801314, 0.0162217659137577, 0.989395724625484, 0.9952116156935434, 0.9962561576354679, 0.0025742574257425744]

LightGBM (recall): [0.8798757335174319, 0.8912013187718937, 0.9399577978131594, 0.866504854368932, 0.9395677949894817, 0.9491689215307306, 0.9158110882956879, 0.9274532906918027, 0.9023787457522398, 0.9408866995073891, 0.919009900990099]

