Size: 10000

['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.6166, 0.7612, 0.6675, 0.6827, 0.7635, 0.8061, 0.7694, 0.7297, 0.7679, 0.7458, 0.7496]

Decision Tree (accuracy): [0.7544, 0.8417, 0.8785, 0.817, 0.8582, 0.8999, 0.8767, 0.842, 0.861, 0.8808, 0.8698]

Random Forest (accuracy): [0.8586, 0.8718, 0.9113, 0.8292, 0.8812, 0.9259, 0.9007, 0.8485, 0.841, 0.9041, 0.8975]

Neural Net (default) (accuracy): [0.6003, 0.665, 0.5122, 0.6439, 0.4959, 0.5424, 0.6226, 0.6791, 0.7455, 0.6277, 0.6044]

QDA (accuracy): [0.526, 0.6738, 0.8016, 0.5269, 0.6804, 0.6839, 0.6971, 0.7072, 0.6854, 0.7702, 0.6738]

Naive Bayes (accuracy): [0.4434, 0.5598, 0.4901, 0.5121, 0.5038, 0.5103, 0.5061, 0.427, 0.5393, 0.6361, 0.5659]

SGD (accuracy): [0.6374, 0.5157, 0.5078, 0.5913, 0.4738, 0.4332, 0.519, 0.3987, 0.6743, 0.49, 0.5554]

LightGBM (accuracy): [0.8914, 0.9057, 0.9306, 0.9125, 0.9154, 0.9463, 0.9245, 0.9104, 0.8738, 0.9448, 0.9426]

Nearest Neighbors (auc): [0.6307593357025181, 0.7615289551676887, 0.6706809850243829, 0.6824708891483346, 0.7599783008830643, 0.8045304385422922, 0.7708414888464601, 0.7155797509375991, 0.736090967123435, 0.7438013553049436, 0.7492589258925892]

Decision Tree (auc): [0.7662595030424015, 0.8420426880178151, 0.8774981084673222, 0.8160249221662366, 0.8564883241683084, 0.8998657333977742, 0.8770094583938743, 0.8401395026788634, 0.8364701004813355, 0.8805331199519894, 0.87006900690069]

Random Forest (auc): [0.8672578631279575, 0.8713595283219003, 0.9114844254759767, 0.8276820644381631, 0.8796835393795441, 0.9255627735412694, 0.9006042084449088, 0.8413955716885748, 0.8130168038969439, 0.9036958315621015, 0.8979287928792878]

Neural Net (default) (auc): [0.6420415646336552, 0.6594194958354204, 0.5309703838137299, 0.6425369198312237, 0.5172423281973199, 0.5572523749161183, 0.6142272175990969, 0.6280798509810624, 0.6632593027548914, 0.6222194993873622, 0.6081888188818881]

QDA (auc): [0.5885451212832531, 0.664184054129027, 0.8077518757941161, 0.5215793469132769, 0.6728437439510615, 0.6936174785111762, 0.6897688837654254, 0.7284465844000455, 0.6796065977772954, 0.7674806831537095, 0.6769896989698969]

Naive Bayes (auc): [0.5173948126441655, 0.5468192086511897, 0.5102172218054436, 0.516639207222154, 0.525071731466794, 0.5265384991840518, 0.5143855246146395, 0.515377603011696, 0.6408989945558227, 0.6412467805256182, 0.5628352835283528]

SGD (auc): [0.581102066495732, 0.5018247772644763, 0.5258710096735151, 0.5956654402728279, 0.49520143433672215, 0.44870740261286024, 0.5073049381381814, 0.48742371763666525, 0.5397595005003653, 0.497401915430972, 0.550991099109911]

LightGBM (auc): [0.8935755272437373, 0.9052859129317016, 0.9301836200262787, 0.9119905600958584, 0.9142399863649986, 0.9461965618843045, 0.9242798131536919, 0.9064465270901735, 0.861853014396256, 0.9448595934085169, 0.9428382838283829]

Nearest Neighbors (precision): [0.727062094531974, 0.7447864945382324, 0.7182154415164124, 0.6854450261780105, 0.7432065217391305, 0.7910743206766241, 0.7337709700948213, 0.7629954515919428, 0.8064944649446495, 0.6988538232061549, 0.7372344390607529]

Decision Tree (precision): [0.856928999144568, 0.8259569377990431, 0.8704595997034841, 0.8803126526624329, 0.8441394256817771, 0.9052243154010488, 0.8621788488348935, 0.879944241156996, 0.8725087924970691, 0.8708691499522445, 0.8930369127516778]

Random Forest (precision): [0.9346963080587535, 0.8766083104830205, 0.921473109898675, 0.9484478935698448, 0.8670299727520436, 0.9225929456625358, 0.8989504013171434, 0.8676079734219269, 0.8553550640279395, 0.8861163227016886, 0.9364563001518109]

Neural Net (default) (precision): [0.8459761262995764, 0.7459901800327332, 0.7759472817133443, 0.683567825856119, 0.7701149425287356, 0.8976063829787234, 0.8131428571428572, 0.6717806841046278, 0.7375166243501391, 0.5779520295202952, 0.9476268412438625]

QDA (precision): [0.9384359400998337, 0.9732302201070792, 0.9378898833740168, 0.9311740890688259, 0.6510625650170903, 0.9424175824175824, 0.9319568277803848, 0.8502673796791443, 0.790604261264408, 0.7026119947468262, 0.9890590809628009]

Naive Bayes (precision): [0.8097826086956522, 0.8949211908931699, 0.7021276595744681, 0.5035907634515523, 0.8637602179836512, 0.9037900874635568, 0.4957839423194427, 0.8168168168168168, 0.9740985271711529, 0.9515723270440252, 0.5439226861603271]

SGD (precision): [0.6249711782338022, 0.5178571428571429, 0.6892067620286085, 0.5482164960054011, 0.4492307692307692, 0.030418250950570342, 0.56, 0.36259541984732824, 0.6661501910959612, 0.3076923076923077, 0.5320798810282558]

LightGBM (precision): [0.9289358600583091, 0.9124472573839663, 0.9278545729975384, 0.9522116025783507, 0.9026272276318207, 0.9471552555448409, 0.9281997918834547, 0.9221757322175732, 0.9026576019777504, 0.9498706982295604, 0.9656679151061174]

Nearest Neighbors (recall): [0.5415947531929582, 0.7727179064496188, 0.5960099750623441, 0.6620145631067961, 0.83687129470262, 0.8496327792810204, 0.8262833675564681, 0.790607641811143, 0.8439913500154465, 0.8770443349753695, 0.7833663366336634]

Decision Tree (recall): [0.6915774939592683, 0.8536987430455388, 0.9010166890466142, 0.7289644012944984, 0.8938611589213998, 0.9008504058755316, 0.888911704312115, 0.8500252482747013, 0.9196787148594378, 0.8983251231527094, 0.8431683168316831]

Random Forest (recall): [0.8127373144632378, 0.8563774984545642, 0.9071551889507001, 0.6921521035598706, 0.912794033275961, 0.9352531890220332, 0.8969199178644763, 0.8791449250967851, 0.9079394501081248, 0.9306403940886699, 0.855049504950495]

Neural Net (default) (recall): [0.37918536416983084, 0.46960642901298166, 0.09035104546326492, 0.5208333333333334, 0.05125262956588258, 0.13045999226903748, 0.2921971252566735, 0.8991752230264265, 0.9422304603027495, 0.9875862068965517, 0.22930693069306932]

QDA (recall): [0.19468415602347255, 0.33711106532042034, 0.6633416458852868, 0.046521035598705504, 0.8378275004781028, 0.41437959025898724, 0.4078028747433265, 0.6155529372159569, 0.6992585727525487, 0.948768472906404, 0.358019801980198]

Naive Bayes (recall): [0.051432516396272006, 0.10529569338553472, 0.03798196815653175, 0.9219255663430421, 0.06062344616561484, 0.05991495941244685, 0.8330595482546201, 0.0457835381248948, 0.2962619709607661, 0.298128078817734, 0.8693069306930693]

SGD (recall): [0.9356230583362098, 0.029878425716051926, 0.10166890466142336, 0.9854368932038835, 0.02792120864410021, 0.0030923850019327404, 0.057494866529774126, 0.015990573977444876, 0.9961383997528576, 0.003940886699507389, 0.9918811881188119]

LightGBM (recall): [0.8798757335174319, 0.8912013187718937, 0.9399577978131594, 0.866504854368932, 0.9395677949894817, 0.9491689215307306, 0.9158110882956879, 0.9274532906918027, 0.9023787457522398, 0.9408866995073891, 0.919009900990099]

