Size: 40000

['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']

Nearest Neighbors (accuracy): [0.67125, 0.78605, 0.696375, 0.69925, 0.803825, 0.842175, 0.801075, 0.783725, 0.790275, 0.78095, 0.79]

Decision Tree (accuracy): [0.815625, 0.815525, 0.900625, 0.844775, 0.8822, 0.918225, 0.88155, 0.872825, 0.856575, 0.909775, 0.894275]

Random Forest (accuracy): [0.86695, 0.88715, 0.9187, 0.84605, 0.893525, 0.9371, 0.90955, 0.867225, 0.84955, 0.92025, 0.9122]

Neural Net (default) (accuracy): [0.64175, 0.5455, 0.606725, 0.596525, 0.60625, 0.767225, 0.60115, 0.47765, 0.724775, 0.6839, 0.639025]

QDA (accuracy): [0.606575, 0.618975, 0.700175, 0.652825, 0.498525, 0.5075, 0.7239, 0.52595, 0.66495, 0.55525, 0.58345]

Naive Bayes (accuracy): [0.44405, 0.53105, 0.4889, 0.52285, 0.500025, 0.501725, 0.540375, 0.44055, 0.526825, 0.623925, 0.579225]

SGD (accuracy): [0.608925, 0.528925, 0.484025, 0.5773, 0.611675, 0.4214, 0.545125, 0.628375, 0.680175, 0.626175, 0.630175]

LightGBM (accuracy): [0.92365, 0.919775, 0.934675, 0.9313, 0.934125, 0.956975, 0.932725, 0.90845, 0.9106, 0.958675, 0.9531]

Nearest Neighbors (auc): [0.6794946380950638, 0.7871096060590932, 0.6996923138767962, 0.6974303494665945, 0.8024106244489825, 0.8406169801420005, 0.8017529131831589, 0.7851174707815302, 0.7769997100162487, 0.7812840493069435, 0.7899422049558269]

Decision Tree (auc): [0.8231727923879232, 0.8135299977888889, 0.8999672680301017, 0.8418317589479185, 0.8812954946464885, 0.9185699385571702, 0.8820159355771241, 0.8724408000876489, 0.8276616798954722, 0.9098182630693243, 0.8943584878447491]

Random Forest (auc): [0.8754295054324942, 0.8865109446000745, 0.9189789291222383, 0.8419788026443861, 0.8924876916580651, 0.9368445829502838, 0.9091736620794981, 0.8604356464911374, 0.8243816782130566, 0.9203068168146116, 0.9122906956253666]

Neural Net (default) (auc): [0.5794423665807975, 0.5580334017511376, 0.5941967073811671, 0.5840370566331496, 0.5919194492111253, 0.7589154880402513, 0.5847927132816239, 0.5539944823988284, 0.6096513420055087, 0.6828041019326835, 0.6397688418734293]

QDA (auc): [0.5348832317363282, 0.627932774973376, 0.6959747810963794, 0.6566411968438964, 0.5161831813979268, 0.524282294454913, 0.7201988271551943, 0.5930876981223714, 0.5486699467617433, 0.5537251617600872, 0.5844202524608443]

Naive Bayes (auc): [0.5174951785337502, 0.5170997803661572, 0.5050039677227197, 0.507397911063584, 0.5174754516897226, 0.5199419651692873, 0.521237427085593, 0.5243340536602757, 0.633805608438694, 0.6225437232711085, 0.5801896478473301]

SGD (auc): [0.5379231666776757, 0.541752294012853, 0.4999568425733328, 0.5895301865058021, 0.6050144035153477, 0.4378908777496622, 0.5623762531395631, 0.5492057239033826, 0.5445388045329761, 0.6273706036491138, 0.6295658905276305]

LightGBM (auc): [0.9258546707491236, 0.9194400321862205, 0.934554183870124, 0.9301545294663776, 0.9336062748746103, 0.9568437119726555, 0.9322230256197089, 0.901839589979007, 0.8983947676523871, 0.9586435746752688, 0.9531483862619631]

Nearest Neighbors (precision): [0.7622730860299921, 0.7571550416982562, 0.7618989054236871, 0.7100229095074456, 0.7931222707423581, 0.8262675515824642, 0.7782899628252788, 0.8438477101342652, 0.8508348941935998, 0.7372985842438672, 0.7771643424872686]
