Size: 20

['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

CatBoost (accuracy): [0.5, 0.75, 0.4, 0.55, 0.65, 0.7, 0.65, 0.65, 0.75, 0.7, 0.45]

AdaBoost (CB) (accuracy): [0.65, 0.65, 0.4, 0.4, 0.5, 0.65, 0.55, 0.55, 0.6, 0.8, 0.6]

CatBoost (auc): [0.5625, 0.4411764705882353, 0.5, 0.6208791208791209, 0.5, 0.6666666666666667, 0.7307692307692308, 0.6500000000000001, 0.7727272727272727, 0.7070707070707071, 0.478021978021978]

AdaBoost (CB) (auc): [0.7083333333333333, 0.5196078431372548, 0.5, 0.47252747252747257, 0.41758241758241765, 0.625, 0.6208791208791209, 0.5499999999999999, 0.6363636363636364, 0.8080808080808081, 0.6263736263736264]

CatBoost (precision): [0.4375, 0.0, 0.0, 0.8333333333333334, 0.65, 0.7142857142857143, 0.5, 0.7142857142857143, 0.6428571428571429, 0.7777777777777778, 0.3333333333333333]

AdaBoost (CB) (precision): [0.5333333333333333, 0.16666666666666666, 0.0, 0.6, 0.6, 0.6923076923076923, 0.42857142857142855, 0.5555555555555556, 0.5294117647058824, 0.8888888888888888, 0.45454545454545453]

CatBoost (recall): [0.875, 0.0, 0.0, 0.38461538461538464, 1.0, 0.8333333333333334, 1.0, 0.5, 1.0, 0.6363636363636364, 0.5714285714285714]

AdaBoost (CB) (recall): [1.0, 0.3333333333333333, 0.0, 0.23076923076923078, 0.6923076923076923, 0.75, 0.8571428571428571, 0.5, 1.0, 0.7272727272727273, 0.7142857142857143]

